route_id,trip_id,trip_headsign,service_id
2,582,To The Domain Hotel & Wild Palms Hotel,2
2,583,To The Domain Hotel & Wild Palms Hotel,3
2,580,To The Domain Hotel & Wild Palms Hotel,2
2,581,To The Domain Hotel & Wild Palms Hotel,2
8,588,"Hyatt Regency Embarcadero, via Millbrae BART",1
8,589,"Hyatt Regency Embarcadero, via Millbrae BART",1
7,245,To Mountain View Caltrain,1
7,244,To Mountain View Caltrain,1
7,247,To Mountain View Caltrain,1
7,246,To Mountain View Caltrain,1
7,241,To Shoreline,1
7,240,To Shoreline,1
7,243,To Mountain View Caltrain,1
7,242,To Mountain View Caltrain,1
9,615,"Westin St. Francis, via Millbrae BART",1
7,249,To Mountain View Caltrain,1
7,248,To Mountain View Caltrain,1
5,519,To BiltMore Hotel & Suites and Avatar Hotel,1
5,518,To BiltMore Hotel & Suites and Avatar Hotel,1
5,511,To BiltMore Hotel & Suites and Avatar Hotel,1
5,510,To BiltMore Hotel & Suites and Avatar Hotel,1
5,513,To BiltMore Hotel & Suites and Avatar Hotel,1
5,512,To BiltMore Hotel & Suites and Avatar Hotel,1
5,515,To BiltMore Hotel & Suites and Avatar Hotel,1
5,514,To BiltMore Hotel & Suites and Avatar Hotel,1
5,517,To BiltMore Hotel & Suites and Avatar Hotel,1
5,516,To BiltMore Hotel & Suites and Avatar Hotel,1
6,458,To Country Inn & Suites by Carlson and Aloft Santa Clara,2
6,459,To Country Inn & Suites by Carlson and Aloft Santa Clara,2
9,621,"Westin St. Francis, via Millbrae BART",2
9,620,"Westin St. Francis, via Millbrae BART",2
9,627,"Westin St. Francis, via Millbrae BART",2
9,626,"Westin St. Francis, via Millbrae BART",2
9,625,"Westin St. Francis, via Millbrae BART",2
9,624,"Westin St. Francis, via Millbrae BART",2
6,450,To Country Inn & Suites by Carlson and Aloft Santa Clara,2
6,451,To Country Inn & Suites by Carlson and Aloft Santa Clara,2
6,452,To Country Inn & Suites by Carlson and Aloft Santa Clara,2
6,453,To Country Inn & Suites by Carlson and Aloft Santa Clara,2
6,454,To Country Inn & Suites by Carlson and Aloft Santa Clara,2
6,455,To Country Inn & Suites by Carlson and Aloft Santa Clara,2
6,456,To Country Inn & Suites by Carlson and Aloft Santa Clara,2
6,457,To Country Inn & Suites by Carlson and Aloft Santa Clara,2
6,179,To Shoreline,3
6,178,To Shoreline,3
6,177,To Shoreline,3
6,176,To Shoreline,3
6,175,To Shoreline,2
6,174,To Shoreline,2
6,173,To Shoreline,2
6,172,To Shoreline,2
6,171,To Shoreline,1
6,170,To Shoreline,1
7,656,Mountain View Caltrain Loop,0
7,657,Mountain View Caltrain Loop,0
7,654,Mountain View Caltrain Loop,0
7,253,To Mountain View Caltrain,1
6,182,To Shoreline,1
6,183,To Shoreline,1
6,180,To Shoreline,3
6,181,To Shoreline,1
6,186,To Shoreline,2
6,187,To Shoreline,2
6,184,To Shoreline,2
6,185,To Shoreline,2
7,652,Mountain View Caltrain Loop,0
6,188,To Shoreline,3
6,189,To Shoreline,3
7,658,Mountain View Caltrain Loop,0
7,653,Mountain View Caltrain Loop,0
7,650,Mountain View Caltrain Loop,0
7,651,Mountain View Caltrain Loop,0
6,764,To Country Inn & Suites by Carlson and Aloft Santa Clara,0
0,11,To Shoreline,2
0,10,To Shoreline,2
0,13,To Shoreline,2
0,12,To Shoreline,2
0,15,To Shoreline,2
0,14,To Shoreline,2
0,17,To Shoreline,3
0,16,To Shoreline,3
0,19,To Shoreline,3
0,18,To Shoreline,3
7,659,Mountain View Caltrain Loop,0
6,753,To Country Inn & Suites by Carlson and Aloft Santa Clara,0
2,831,To The Domain Hotel & Wild Palms Hotel,0
6,752,To Country Inn & Suites by Carlson and Aloft Santa Clara,0
1,62,To Shoreline,3
6,756,To Country Inn & Suites by Carlson and Aloft Santa Clara,0
5,809,To BiltMore Hotel & Suites and Avatar Hotel,0
0,322,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,1
0,323,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,1
0,320,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,1
0,321,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,1
0,326,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,2
0,327,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,2
0,324,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,1
0,325,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,1
0,328,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,2
0,329,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,2
6,759,To Country Inn & Suites by Carlson and Aloft Santa Clara,0
8,201,To Shoreline,1
8,200,To Shoreline,1
8,203,To Shoreline,2
8,202,To Shoreline,1
8,205,To Shoreline,2
8,204,To Shoreline,2
8,207,To Shoreline,3
8,206,To Shoreline,2
8,209,To Shoreline,3
8,208,To Shoreline,3
4,779,To Plaza Suites & Embassy Suites Santa Clara,0
4,778,To Plaza Suites & Embassy Suites Santa Clara,0
2,77,To Shoreline,1
2,76,To Shoreline,3
2,75,To Shoreline,3
2,74,To Shoreline,3
2,73,To Shoreline,3
2,72,To Shoreline,3
2,71,To Shoreline,2
2,70,To Shoreline,2
7,655,Mountain View Caltrain Loop,0
2,79,To Shoreline,1
2,78,To Shoreline,1
0,2,To Shoreline,1
5,805,To BiltMore Hotel & Suites and Avatar Hotel,0
5,804,To BiltMore Hotel & Suites and Avatar Hotel,0
0,669,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,0
0,668,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,0
0,667,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,0
0,666,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,0
0,665,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,0
7,664,Mountain View Caltrain Loop,0
7,663,Mountain View Caltrain Loop,0
7,662,Mountain View Caltrain Loop,0
7,661,Mountain View Caltrain Loop,0
7,660,Mountain View Caltrain Loop,0
4,769,To Plaza Suites & Embassy Suites Santa Clara,0
1,692,To Hotel Avante & Grand Hotel,0
1,693,To Hotel Avante & Grand Hotel,0
0,690,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,0
1,691,To Hotel Avante & Grand Hotel,0
1,696,To Hotel Avante & Grand Hotel,0
1,697,To Hotel Avante & Grand Hotel,0
1,694,To Hotel Avante & Grand Hotel,0
1,695,To Hotel Avante & Grand Hotel,0
1,698,To Hotel Avante & Grand Hotel,0
1,699,To Hotel Avante & Grand Hotel,0
5,542,To BiltMore Hotel & Suites and Avatar Hotel,2
5,543,To BiltMore Hotel & Suites and Avatar Hotel,3
5,540,To BiltMore Hotel & Suites and Avatar Hotel,2
5,541,To BiltMore Hotel & Suites and Avatar Hotel,2
5,546,To BiltMore Hotel & Suites and Avatar Hotel,3
2,547,To The Domain Hotel & Wild Palms Hotel,1
5,544,To BiltMore Hotel & Suites and Avatar Hotel,3
5,545,To BiltMore Hotel & Suites and Avatar Hotel,3
0,8,To Shoreline,2
2,548,To The Domain Hotel & Wild Palms Hotel,1
2,549,To The Domain Hotel & Wild Palms Hotel,1
2,68,To Shoreline,1
8,598,"Hyatt Regency Embarcadero, via Millbrae BART",2
4,120,To Shoreline,1
4,121,To Shoreline,1
4,122,To Shoreline,1
4,123,To Shoreline,1
4,124,To Shoreline,2
4,125,To Shoreline,2
4,126,To Shoreline,2
4,127,To Shoreline,2
4,128,To Shoreline,3
4,129,To Shoreline,3
6,765,To Country Inn & Suites by Carlson and Aloft Santa Clara,0
3,414,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",2
3,415,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",2
3,416,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",2
3,417,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",2
3,410,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",2
3,411,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",2
3,412,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",2
3,413,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",2
4,498,To Plaza Suites & Embassy Suites Santa Clara,2
3,418,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",2
3,419,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",2
4,776,To Plaza Suites & Embassy Suites Santa Clara,0
4,499,To Plaza Suites & Embassy Suites Santa Clara,2
0,319,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,1
0,318,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,1
0,313,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,1
0,312,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,1
0,311,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,1
0,310,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,1
0,317,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,1
0,316,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,1
0,315,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,1
0,314,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,1
4,496,To Plaza Suites & Embassy Suites Santa Clara,2
2,832,To The Domain Hotel & Wild Palms Hotel,0
2,833,To The Domain Hotel & Wild Palms Hotel,0
2,830,To The Domain Hotel & Wild Palms Hotel,0
4,497,To Plaza Suites & Embassy Suites Santa Clara,2
2,836,To The Domain Hotel & Wild Palms Hotel,0
2,837,To The Domain Hotel & Wild Palms Hotel,0
2,834,To The Domain Hotel & Wild Palms Hotel,0
2,835,To The Domain Hotel & Wild Palms Hotel,0
2,838,To The Domain Hotel & Wild Palms Hotel,0
2,839,To The Domain Hotel & Wild Palms Hotel,0
5,808,To BiltMore Hotel & Suites and Avatar Hotel,0
0,3,To Shoreline,1
3,725,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",0
1,368,To Hotel Avante & Grand Hotel,2
1,369,To Hotel Avante & Grand Hotel,2
1,366,To Hotel Avante & Grand Hotel,2
1,367,To Hotel Avante & Grand Hotel,2
1,364,To Hotel Avante & Grand Hotel,1
1,365,To Hotel Avante & Grand Hotel,1
1,362,To Hotel Avante & Grand Hotel,1
1,363,To Hotel Avante & Grand Hotel,1
1,360,To Hotel Avante & Grand Hotel,1
1,361,To Hotel Avante & Grand Hotel,1
1,380,To Hotel Avante & Grand Hotel,2
1,381,To Hotel Avante & Grand Hotel,2
1,382,To Hotel Avante & Grand Hotel,2
1,383,To Hotel Avante & Grand Hotel,3
1,384,To Hotel Avante & Grand Hotel,3
1,385,To Hotel Avante & Grand Hotel,3
1,386,To Hotel Avante & Grand Hotel,3
3,387,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",1
3,388,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",1
3,389,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",1
4,784,To Plaza Suites & Embassy Suites Santa Clara,0
